2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
1,Jimmy John's Sandwiches,Sandwiches,#1 Franchise 500,"$325,500 ","$555,000 ",+9.0% +205 UNITS,+22.5% +514 UNITS,1983,1993,"2212 Fox Dr. Champaign, IL 61820",,1,85,throughout the US,Training Onsite: 20 days
2,Hampton by Hilton,Midprice hotels,#2 Franchise 500,"$4,213,600 ","$14,896,500 ",+4.4% +90 UNITS,+5.7% +117 UNITS,1983,1984,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,1,48,worldwide,Training Onsite: varies
3,Supercuts,Hair salons,#3 Franchise 500,"$144,400 ","$293,800 ",+5.3% +136 UNITS,+8.8% +225 UNITS,1975,1979,"7201 Metro Blvd. Minneapolis, MN 55439","$2,500 rebate on first-store franchise fee",3,40,,Training at headquarters: 5 days
4,Servpro,Insurance/disaster restoration and cleaning,#4 Franchise 500,"$156,075 ","$209,950 ",+1.8% +30 UNITS,+4.7% +80 UNITS,1967,1969,"801 Industrial Blvd. Gallatin, TN 37066",,4,43,,Training Onsite: 5 days
5,Subway,"Subs, salads",#5 Franchise 500,"$116,600 ","$263,150 ",+1.7% +768 UNITS,+9.4% +4149 UNITS,1965,1974,"325 Bic Dr. Milford, CT 06461","Franchise fee waived if opening on a military/government location, 50% off franchise fee if opening on non-government location but receiving government financing",1,9,worldwide,Training Onsite: 10 days
6,McDonald's,"Burgers, chicken, salads, beverages",#6 Franchise 500,"$1,003,000 ","$2,228,000 ",+2.3% +842 UNITS,+4.5% +1632 UNITS,1955,1955,"2915 Jorie Blvd. Oak Brook, IL 60523",,2,16,worldwide,Training Onsite: 6-24 months
7,7-Eleven Inc.,Convenience stores,#7 Franchise 500,"$37,200 ","$1,635,200 ",+5.2% +2918 UNITS,+9.7% +5495 UNITS,1927,1964,"P.O. Box 711 Dallas, TX 75221-0711","10-20% off franchise fee, special financing",1,30,internationally,Training Onsite: 28-42 days
8,Dunkin' Donuts,"Coffee, doughnuts, baked goods",#8 Franchise 500,"$228,621 ","$1,692,314 ",+5.0% +575 UNITS,+6.4% +745 UNITS,1950,1955,"130 Royall St. Canton, MA 02021",20% off franchise fee for first five traditional restaurants,2,36,,Training at headquarters: 30 days
9,Denny's Inc.,Family restaurants,#9 Franchise 500,"$915,569 ","$2,421,185 ",,+0.8% +13 UNITS,1953,1963,"203 E. Main St. Spartanburg, SC 29319",,7,61,,Training Onsite: 21 days
10,Anytime Fitness,Fitness centers,#10 Franchise 500,"$80,020 ","$490,100 ",+10.1% +307 UNITS,+21.0% +639 UNITS,2001,2002,"111 Weir Dr. Woodbury, MN 55125",20% off franchise fee,1,353,worldwide,Training Onsite: 1 day
